#Session	ID	Occasion	Detector	Sex
1	27	1	12	M
1	28	1	21	F
1	30	1	22	F
1	31	1	23	F
1	32	1	24	M
1	33	1	31	F
1	34	1	32	I
1	35	1	33	M
1	36	1	34	M
1	37	1	41	M
1	39	2	12	M
1	40	2	13	M
1	41	2	21	I
1	31	2	23	F
1	28	2	24	F
1	42	2	33	M
1	37	2	41	M
1	53	2	42	M
1	43	3	21	M
1	45	3	23	M
1	44	3	24	M
1	49	3	31	M
1	111	-3	32	I
1	38	3	33	M
1	20	3	34	I
1	46	3	41	I
1	47	3	42	F
1	48	3	43	M
1	14	4	11	M
1	27	4	12	M
1	8	4	21	M
1	28	4	23	F
1	32	4	24	M
1	10	4	32	M
1	17	4	34	I
1	56	4	41	M
1	4	4	42	M
1	112	-5	11	I
1	39	-5	12	M
1	40	-5	13	M
1	113	5	21	I
1	31	5	22	F
1	42	5	32	M
