#Session	ID	Occasion	Detector	SEX
2	15	3	7	F
2	15	5	9	F
2	15	6	5	F
2	60	2	18	M
2	63	5	17	F
2	63	6	14	F
2	77	1	15	M
2	77	3	4	F
2	77	5	6	F
2	78	4	15	M
2	79	1	6	M
2	80	3	18	M
2	80	4	13	M
2	80	5	12	M
2	80	6	20	M
2	81	1	4	M
2	81	2	8	M
2	81	3	12	M
2	81	5	13	M
2	81	6	13	M
2	82	3	20	M
2	82	5	11	F
2	82	6	11	M
2	83	1	14	F
2	83	2	12	F
2	83	4	7	F
2	83	6	9	F
2	84	3	11	M
2	84	4	10	M
2	84	6	19	M
2	85	1	7	F
2	85	2	14	I
2	85	3	17	F
2	85	4	14	M
2	85	5	7	M
2	85	6	17	M
2	86	3	15	M
2	86	5	15	M
2	87	2	20	M
2	87	4	20	F
2	90	3	19	M
2	90	4	8	M
2	90	5	1	M
2	90	6	10	M
2	91	4	18	F
2	91	5	18	M
2	91	6	18	F
2	94	2	11	M
2	95	2	7	M
2	96	2	10	F
2	96	3	9	F
2	96	4	9	F
2	96	5	2	F
2	96	6	3	F
2	97	4	16	M
2	97	6	15	M
2	8994	4	11	M
2	8994	5	20	M
