Island,Year,Month,Day,Species,Counts,Radius,Landscape,Observer,Original_Landscape,Site
Ilha Rata,2017,8,1,Trachylepis atlantica,1,3,treed,Krul,Da Praia de seixos e 1a Ruina,TA_R_1
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,Da Praia de seixos e 1a Ruina,TA_R_2
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,Da Praia de seixos e 1a Ruina,TA_R_3
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,open,Krul,Da Praia de seixos e 1a Ruina,TA_R_4
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,open,Krul,Da Praia de seixos e 1a Ruina,TA_R_5
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,semi-open,Krul,Da Praia de seixos e 1a Ruina,TA_R_6
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,semi-open,Krul,Da Praia de seixos e 1a Ruina,TA_R_7
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,semi-open,Krul,Da Praia de seixos e 1a Ruina,TA_R_8
Ilha Rata,2017,8,1,Trachylepis atlantica,5,3,treed,Krul,Da Praia de seixos e 1a Ruina,TA_R_9
Ilha Rata,2017,8,1,Trachylepis atlantica,4,3,treed,Krul,Da Praia de seixos e 1a Ruina,TA_R_10
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,1a Ruinas e Farol ,TA_R_11
Ilha Rata,2017,8,1,Trachylepis atlantica,3,3,treed,Krul,1a Ruinas e Farol ,TA_R_12
Ilha Rata,2017,8,1,Trachylepis atlantica,2,3,treed,Krul,1a Ruinas e Farol ,TA_R_13
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,1a Ruinas e Farol ,TA_R_14
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,1a Ruinas e Farol ,TA_R_15
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,1a Ruinas e Farol ,TA_R_16
Ilha Rata,2017,8,1,Trachylepis atlantica,0,3,treed,Krul,1a Ruinas e Farol ,TA_R_17
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,semi-open,Krul,Face Sul da Ilha (trilha aberta pelo Pesquisador),TA_M_1
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,semi-open,Krul,Face Sul da Ilha (trilha aberta pelo Pesquisador),TA_M_2
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,semi-open,Krul,Face Sul da Ilha (trilha aberta pelo Pesquisador),TA_M_3
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,semi-open,Krul,Face Sul da Ilha (trilha aberta pelo Pesquisador),TA_M_4
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,semi-open,Krul,Face Sul da Ilha (trilha aberta pelo Pesquisador),TA_M_5
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Sul,TA_M_6
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Sul,TA_M_7
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Sul,TA_M_8
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Sul,TA_M_9
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Sul,TA_M_10
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Transecto sul-norte (aberto),TA_M_11
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Transecto sul-norte (aberto),TA_M_12
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Transecto sul-norte (aberto),TA_M_13
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Transecto sul-norte (aberto),TA_M_14
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Transecto sul-norte (aberto),TA_M_15
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Norte,TA_M_16
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,open,Krul,Caracas Norte,TA_M_17
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,open,Krul,Caracas Norte,TA_M_18
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,open,Krul,Caracas Norte,TA_M_19
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,open,Krul,Caracas Norte,TA_M_20
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,treed,Verona,Trilha Area Arborizada,TA_M_21
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,treed,Verona,Trilha Area Arborizada,TA_M_22
Ilha do Meio,2017,8,8,Trachylepis atlantica,6,3,treed,Verona,Trilha Area Arborizada,TA_M_23
Ilha do Meio,2017,8,8,Trachylepis atlantica,8,3,treed,Verona,Trilha Area Arborizada,TA_M_24
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,treed,Verona,Trilha Area Arborizada,TA_M_25
Ilha do Meio,2017,8,8,Trachylepis atlantica,3,3,treed,Verona,Trilha Area Arborizada,TA_M_26
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,treed,Verona,Trilha Area Arborizada,TA_M_27
Ilha do Meio,2017,8,8,Trachylepis atlantica,2,3,treed,Verona,Trilha Area Arborizada,TA_M_28
Ilha do Meio,2017,8,8,Trachylepis atlantica,3,3,treed,Verona,Trilha Area Arborizada,TA_M_29
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,treed,Verona,Trilha Area Arborizada,TA_M_30
Ilha do Meio,2017,8,8,Trachylepis atlantica,3,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_31
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_32
Ilha do Meio,2017,8,8,Trachylepis atlantica,0,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_33
Ilha do Meio,2017,8,8,Trachylepis atlantica,3,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_34
Ilha do Meio,2017,8,8,Trachylepis atlantica,5,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_35
Ilha do Meio,2017,8,8,Trachylepis atlantica,1,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_36
Ilha do Meio,2017,8,8,Trachylepis atlantica,8,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_37
Ilha do Meio,2017,8,8,Trachylepis atlantica,13,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_38
Ilha do Meio,2017,8,8,Trachylepis atlantica,4,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_39
Ilha do Meio,2017,8,8,Trachylepis atlantica,4,3,bushy,Mangini,Trilha Area Arbustiva,TA_M_40
