"","species","island","cycle","site","landCover","variable","estimate","standardError","LCI","UCI","modelType","modelFormulation","AIC","K","totalModelRuntime"
"1","Trachylepis atlantica","Ilha do Meio",1,1,"semi-open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"2","Trachylepis atlantica","Ilha do Meio",1,2,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"3","Trachylepis atlantica","Ilha do Meio",1,3,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"4","Trachylepis atlantica","Ilha do Meio",1,4,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"5","Trachylepis atlantica","Ilha do Meio",1,5,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"6","Trachylepis atlantica","Ilha do Meio",1,6,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"7","Trachylepis atlantica","Ilha do Meio",1,7,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"8","Trachylepis atlantica","Ilha do Meio",1,8,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"9","Trachylepis atlantica","Ilha do Meio",1,9,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"10","Trachylepis atlantica","Ilha do Meio",1,10,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"11","Trachylepis atlantica","Ilha do Meio",1,11,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"12","Trachylepis atlantica","Ilha do Meio",1,12,"semi-open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"13","Trachylepis atlantica","Ilha do Meio",1,13,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"14","Trachylepis atlantica","Ilha do Meio",1,14,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"15","Trachylepis atlantica","Ilha do Meio",1,15,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"16","Trachylepis atlantica","Ilha do Meio",1,16,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"17","Trachylepis atlantica","Ilha do Meio",1,17,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"18","Trachylepis atlantica","Ilha do Meio",1,18,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"19","Trachylepis atlantica","Ilha do Meio",1,19,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"20","Trachylepis atlantica","Ilha do Meio",1,20,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"21","Trachylepis atlantica","Ilha do Meio",1,21,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"22","Trachylepis atlantica","Ilha do Meio",1,22,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"23","Trachylepis atlantica","Ilha do Meio",1,23,"semi-open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"24","Trachylepis atlantica","Ilha do Meio",1,24,"treed","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"25","Trachylepis atlantica","Ilha do Meio",1,25,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"26","Trachylepis atlantica","Ilha do Meio",1,26,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"27","Trachylepis atlantica","Ilha do Meio",1,27,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"28","Trachylepis atlantica","Ilha do Meio",1,28,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"29","Trachylepis atlantica","Ilha do Meio",1,29,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"30","Trachylepis atlantica","Ilha do Meio",1,30,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"31","Trachylepis atlantica","Ilha do Meio",1,31,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"32","Trachylepis atlantica","Ilha do Meio",1,32,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"33","Trachylepis atlantica","Ilha do Meio",1,33,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"34","Trachylepis atlantica","Ilha do Meio",1,34,"semi-open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"35","Trachylepis atlantica","Ilha do Meio",1,35,"bushy","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"36","Trachylepis atlantica","Ilha do Meio",1,36,"semi-open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"37","Trachylepis atlantica","Ilha do Meio",1,37,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"38","Trachylepis atlantica","Ilha do Meio",1,38,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"39","Trachylepis atlantica","Ilha do Meio",1,39,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"40","Trachylepis atlantica","Ilha do Meio",1,40,"open","populationGrowthRate",0.480101697277386,0.06435297117087,0.369179807340346,0.624350614919009,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"41","Trachylepis atlantica","Ilha do Meio",2,1,"semi-open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"42","Trachylepis atlantica","Ilha do Meio",2,2,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"43","Trachylepis atlantica","Ilha do Meio",2,3,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"44","Trachylepis atlantica","Ilha do Meio",2,4,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"45","Trachylepis atlantica","Ilha do Meio",2,5,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"46","Trachylepis atlantica","Ilha do Meio",2,6,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"47","Trachylepis atlantica","Ilha do Meio",2,7,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"48","Trachylepis atlantica","Ilha do Meio",2,8,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"49","Trachylepis atlantica","Ilha do Meio",2,9,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"50","Trachylepis atlantica","Ilha do Meio",2,10,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"51","Trachylepis atlantica","Ilha do Meio",2,11,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"52","Trachylepis atlantica","Ilha do Meio",2,12,"semi-open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"53","Trachylepis atlantica","Ilha do Meio",2,13,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"54","Trachylepis atlantica","Ilha do Meio",2,14,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"55","Trachylepis atlantica","Ilha do Meio",2,15,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"56","Trachylepis atlantica","Ilha do Meio",2,16,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"57","Trachylepis atlantica","Ilha do Meio",2,17,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"58","Trachylepis atlantica","Ilha do Meio",2,18,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"59","Trachylepis atlantica","Ilha do Meio",2,19,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"60","Trachylepis atlantica","Ilha do Meio",2,20,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"61","Trachylepis atlantica","Ilha do Meio",2,21,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"62","Trachylepis atlantica","Ilha do Meio",2,22,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"63","Trachylepis atlantica","Ilha do Meio",2,23,"semi-open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"64","Trachylepis atlantica","Ilha do Meio",2,24,"treed","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"65","Trachylepis atlantica","Ilha do Meio",2,25,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"66","Trachylepis atlantica","Ilha do Meio",2,26,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
