name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Fernando de Noronha,3/1/2017,31,26.9,28.4,39.1,29.8,33.1,24.7,80.8,6.2,100,100,rain,,,,27.7,117.9,1010.3,64.2,11.1,195.2,16.9,7,,2017-03-01T06:16:30,2017-03-01T18:27:13,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/2/2017,30,23.1,27.1,37.4,23.1,30.3,24.8,87.7,7.8,100,100,rain,,,,25.9,119.1,1011.4,70.1,9.5,113,9.7,4,,2017-03-02T06:16:24,2017-03-02T18:26:54,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/3/2017,31,26,28.4,39.1,26,32.8,24.7,80.5,1.6,100,62.5,rain,,,,29.9,131.4,1012.2,61.7,11.1,292.2,25.3,10,,2017-03-03T06:16:18,2017-03-03T18:26:35,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/4/2017,31,25,28.4,39.1,25,32.7,24.3,78.9,0.6,100,25,rain,,,,25.9,129.9,1010.7,58,11.1,296.7,25.6,10,,2017-03-04T06:16:11,2017-03-04T18:26:16,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/5/2017,31,26,28.5,39.1,26,32.6,24.2,78.2,2.1,100,66.67,rain,,,,27.7,121.1,1010.1,46.4,11.1,294.5,25.6,10,,2017-03-05T06:16:04,2017-03-05T18:25:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/6/2017,31,26,28.4,39.1,26,32.9,24.7,80.4,1.7,100,62.5,rain,,,,27,117.3,1010.9,51.2,11.1,273.1,23.7,9,,2017-03-06T06:15:56,2017-03-06T18:25:35,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/7/2017,31,25,28,40.6,25,32.3,25,84.2,4.1,100,95.83,rain,,,,25.6,120,1011.1,51.2,10.3,168.7,14.6,5,,2017-03-07T06:15:48,2017-03-07T18:25:14,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/8/2017,31,26,28.3,39.1,26,33.1,25.2,83.4,7.3,100,100,rain,,,,25.9,126.3,1010.6,64.5,11.1,202,17.4,7,,2017-03-08T06:15:40,2017-03-08T18:24:53,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/9/2017,30.8,26,27.9,40,26,32.1,24.8,83.4,3.4,100,50,rain,,,,29.5,127.5,1010.3,75.3,11,151.9,13.1,5,,2017-03-09T06:15:31,2017-03-09T18:24:31,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/10/2017,31,27,28.5,40.6,30.1,33.4,24.8,80.4,0.3,100,12.5,rain,,,,27.7,125,1011,67.5,11.1,195.5,16.8,7,,2017-03-10T06:15:22,2017-03-10T18:24:09,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/11/2017,30,26,28.4,36.2,26,32.5,24,77.3,0,0,0,,,,,25.9,107.6,1010.7,43.5,11.1,297.1,25.6,10,,2017-03-11T06:15:13,2017-03-11T18:23:47,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/12/2017,31,26,28.6,39,26,33.1,24.3,77.7,0,0,0,,,,,25.9,121.3,1010.9,38.9,11.1,297.4,25.8,10,,2017-03-12T06:15:03,2017-03-12T18:23:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/13/2017,31,26,28.5,39.1,26,32.9,24.3,78.5,0,0,0,,,,,25.9,122.7,1011,39.8,11.1,315.2,27.1,10,,2017-03-13T06:14:53,2017-03-13T18:23:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/14/2017,31,26,28.4,37.7,26,32.6,24.2,78.3,0,0,0,,,,,22.3,121.1,1011.3,57.1,11.1,312.3,27,10,,2017-03-14T06:14:43,2017-03-14T18:22:39,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/15/2017,31,26.9,28.7,37.7,29.6,33.1,24.1,76.4,0,0,0,,,,,25.9,113.4,1010.4,59.7,11.1,306.7,26.4,10,,2017-03-15T06:14:33,2017-03-15T18:22:15,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/16/2017,30.1,27,28.6,35.1,29.6,32.2,23.2,73,0,0,0,,,,,24.8,98.9,1011.2,57.9,11.1,291.1,25.2,9,,2017-03-16T06:14:22,2017-03-16T18:21:52,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,remote,82400099999"
Fernando de Noronha,3/17/2017,31,25,28.4,37.7,25,32.2,23.5,75,0.4,100,16.67,rain,,,,21.6,107,1012.1,47.5,11.1,309.9,26.9,10,,2017-03-17T06:14:11,2017-03-17T18:21:28,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,3/18/2017,29,24,27.3,33.5,24,30,23.5,80,0.7,100,29.17,rain,,,,16.9,117.3,1013.1,43.2,11.1,273.9,23.6,9,,2017-03-18T06:14:00,2017-03-18T18:21:04,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,remote,82400099999"
